Area,LAT,LON,BID,Pop
324127,40.0858417,-88.1761119,5061,60
703183,40.093424,-88.1734839,5036,84
161762,40.0880575,-88.1713276,5067,4
509111,40.0947026,-88.1648066,5027,165
10924,40.1265391,-88.1814083,2027,12
253403,40.0915277,-88.1781531,5040,19
651019,40.0800507,-88.2041463,1028,15
123915,40.1189333,-88.2088763,2006,13
50385,40.0995258,-88.2060275,5009,48
23951,40.124425,-88.2258531,3009,140
4429,40.1083194,-88.1996702,4031,59
17119,40.1100175,-88.2055427,1047,38
4329,40.1131865,-88.1951952,1027,39
96389,40.0928868,-88.2128218,1041,11
117604,40.1207865,-88.2050565,2016,8
3953,40.109653,-88.2028395,1043,56
36672,40.1347784,-88.1966623,3002,116
14224,40.0883305,-88.2024117,4010,96
39901,40.1040641,-88.2022902,4001,42
49893,40.1181646,-88.2016372,1026,38
45575,40.14097,-88.1823883,3035,26
12945,40.1104976,-88.1986571,1028,15
4425,40.1334183,-88.1939248,4004,32
9158,40.1223461,-88.2070522,2018,9
4391,40.1133675,-88.158473,2025,14
5910,40.1263514,-88.2095267,2003,51
1350,40.1418438,-88.1811528,3016,74
15301,40.1060103,-88.2168162,4006,32
43903,40.121873,-88.2188047,2013,14
33972,40.1141915,-88.2005481,1015,11
13591,40.1347198,-88.2209837,1049,52
5004,40.1156622,-88.2167194,3005,125
12029,40.0901549,-88.2011946,4008,22
1012,40.0993486,-88.2224435,1018,22
17408,40.0986795,-88.2107934,5015,29
8395,40.1095964,-88.2067188,1048,70
20922,40.1229624,-88.2021812,2013,14
6317,40.1318195,-88.2012103,3026,44
37419,40.1008825,-88.1931739,2008,26
14705,40.1125856,-88.2116811,1036,11
306953,40.1112604,-88.1579342,2055,9
135402,40.0742875,-88.1879157,1036,11
4761,40.1133929,-88.1698626,2048,14
1611,40.138812,-88.1914974,3018,48
5559,40.1125428,-88.1745941,3005,125
2542,40.1167698,-88.1839071,1020,39
26235,40.1013559,-88.2060596,5010,66
21716,40.1227103,-88.2036118,2012,17
9986,40.1113156,-88.1997471,1021,31
5734,40.1089877,-88.2095836,3000,50
15226,40.1159172,-88.2232006,2001,16
19074,40.1149569,-88.2183429,3007,73
23362,40.0757698,-88.1869096,1034,18
4534,40.1080097,-88.2070092,5009,48
1106,40.1341673,-88.1929737,3021,37
15401,40.1069687,-88.2168372,4005,36
8607,40.1089542,-88.1962866,4021,118
16511,40.1228045,-88.2205136,4001,42
18318,40.1045183,-88.1803459,1017,22
1644,40.1005004,-88.1816224,5018,48
5667,40.1117407,-88.211071,1014,101
3226,40.112668,-88.2078157,1043,56
418,40.127501,-88.1883513,4026,10
68981,40.1179426,-88.2210306,4022,20
16859,40.1158511,-88.2083865,1014,101
24766,40.1066917,-88.1972734,4046,57
22153,40.1085505,-88.2204152,2007,16
8399,40.1251814,-88.2071079,2008,26
26793,40.1178048,-88.1702306,2019,22
322,40.1006061,-88.1896554,2014,9
3855,40.1183992,-88.2023489,1025,37
34759,40.0827558,-88.1832488,1017,22
12308,40.1140569,-88.1985521,1014,101
4896,40.1110341,-88.2031627,1036,11
8602,40.0994985,-88.2077031,5017,1042
5867,40.1100936,-88.209599,2016,8
9411,40.1139189,-88.1951986,1025,37
26859,40.0934137,-88.1970365,2009,18
7921,40.1128072,-88.2150632,1040,10
155,40.1049906,-88.1765101,1019,78
71355,40.1028727,-88.2232551,3013,365
6447,40.1224136,-88.2264565,3017,90
14865,40.1169147,-88.2165622,2024,18
10416,40.0901471,-88.2000644,4004,32
5527,40.1085761,-88.2095739,3012,163
22597,40.1064772,-88.2226899,3002,116
6314,40.1195427,-88.2264405,4010,96
27016,40.1108408,-88.2271726,1014,101
361,40.0887666,-88.2035106,4007,35
18182,40.0847694,-88.2029841,3012,163
29863,40.1065628,-88.2080368,5023,81
389,40.0988172,-88.1871174,2025,14
7449,40.1200318,-88.224919,4004,32
1052,40.1058649,-88.1710185,3020,26
2397,40.1127352,-88.1730165,2051,16
561,40.1058459,-88.1730489,3031,54
5442,40.111357,-88.2096283,2000,105
36779,40.1019919,-88.1932753,2005,16
21173,40.081072,-88.1845783,1019,78
56719,40.0923055,-88.2016109,2007,16
7540,40.1152439,-88.216577,3006,117
9681,40.0942818,-88.1920849,2001,16
97929,40.0845288,-88.207499,3011,96
11866,40.1102219,-88.2152913,2008,26
6706,40.1131589,-88.1651519,2047,2
280,40.1274973,-88.1897495,4028,23
14704,40.1149835,-88.2114669,1018,22
6988,40.115214,-88.2231869,2006,13
13693,40.0874141,-88.198574,4028,23
2570,40.0943165,-88.1708502,5043,5
26279,40.1069942,-88.2145542,4004,32
12230,40.1227277,-88.1984197,5010,66
2496,40.110936,-88.2091864,2005,16
832,40.131858,-88.2022653,3018,48
13104,40.1078588,-88.2168533,3006,117
9795,40.1249047,-88.1984576,5009,48
5384,40.110049,-88.2124518,2018,9
19274,40.0878506,-88.2077221,3009,140
18657,40.0779465,-88.1837926,1021,31
9234,40.1113008,-88.2008539,1031,61
26635,40.1034646,-88.1923505,2003,51
32837,40.1168973,-88.2224838,4021,118
3829,40.1096351,-88.2034203,1044,78
